SEX_clean,EDUCATION_clean,MARRIAGE_clean,age_group,limit_group,LIMIT_BAL,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,max_delay,avg_delay,recent_delay,late_payment_count,severe_delay_count,is_ever_late,total_bill,avg_bill,max_bill,bill_std,bill_trend,total_payment,avg_payment,max_payment,payment_std,payment_trend,payment_ratio,credit_utilization,bill_to_limit_ratio,payment_to_limit_ratio,recent_pay_to_bill_ratio,actual_default,predicted_default,default_probability,actual_label,predicted_label
Male,University,Single,41-50,Low,50000.0,46,-1,-1,-1,-1,0,0,1540.0,26060.0,0.0,2650.0,3320.0,2764.0,26060.0,0.0,3472.0,2320.0,1764.0,2841.0,0,0.0,0,0,0,0,36334.0,6055.666666666667,26060.0,9870.696057860694,-1224.0,36457.0,6076.166666666667,26060.0,9861.287470034868,23219.0,1.003385258958458,0.12111333333091107,0.7266799999854664,0.7291399999854172,16.92207791108956,0,0,0.3180928979364907,Tidak Default,Tidak Default
Male,Graduate School,Married,31-40,High,150000.0,31,-1,-1,-2,-2,-2,-1,15000.0,0.0,0.0,0.0,0.0,11694.0,0.0,0.0,0.0,0.0,11694.0,30000.0,0,0.0,0,0,0,0,26694.0,4449.0,15000.0,6971.198318797135,3306.0,41694.0,6949.0,30000.0,12223.076781236385,-30000.0,1.5619240278129196,0.029659999999802265,0.1779599999988136,0.2779599999981469,0.0,0,0,0.2841592981334809,Tidak Default,Tidak Default
Male,University,Single,20-30,Low,50000.0,25,0,0,0,0,0,0,48065.0,48355.0,49009.0,49949.0,50479.0,50702.0,1800.0,1844.0,2200.0,2000.0,1800.0,2038.0,0,0.0,0,0,0,0,296559.0,49426.5,50702.0,1112.0938359688898,-2637.0,11682.0,1947.0,2200.0,160.57770704552982,-238.0,0.0393918242237147,0.9885299999802294,5.931179999881376,0.2336399999953272,0.03744928742250184,0,0,0.39097881409857294,Tidak Default,Tidak Default
Female,Graduate School,Single,20-30,Very High,290000.0,25,0,0,0,0,0,0,305823.0,303701.0,296384.0,248801.0,241983.0,230925.0,15000.0,10500.0,10000.0,15000.0,7844.0,23333.0,0,0.0,0,0,0,0,1627617.0,271269.5,305823.0,34254.03894287504,74898.0,81677.0,13612.833333333334,23333.0,5556.1108130298,-8333.0,0.05018195312530516,0.9354120689622917,5.61247241377375,0.2816448275852357,0.04904797873263604,1,0,0.3049056914969433,Default,Tidak Default
Female,University,Married,20-30,Very High,500000.0,27,-2,-2,-2,-2,-2,-2,11354.0,9983.0,13570.0,10000.0,10000.0,10000.0,9983.0,13587.0,10000.0,10000.0,10000.0,25304.0,0,0.0,0,0,0,0,64907.0,10817.833333333334,13570.0,1453.6434799037438,1354.0,78874.0,13145.666666666666,25304.0,6127.119410185072,-15321.0,1.2151848028530792,0.021635666666623397,0.12981399999974036,0.1577479999996845,0.8792496035864673,0,0,0.21411201321475878,Tidak Default,Tidak Default
Male,Graduate School,Married,20-30,High,200000.0,29,1,2,0,0,0,0,199417.0,188778.0,195335.0,194775.0,197105.0,204122.0,0.0,8278.0,4100.0,180000.0,202317.0,0.0,2,0.5,1,2,1,1,1179532.0,196588.66666666666,204122.0,5116.341687833863,-4705.0,394695.0,65782.5,202317.0,97420.20317726709,0.0,0.3346200018309511,0.9829433333284185,5.897659999970512,1.9734749999901327,0.0,0,1,0.6077248732776669,Tidak Default,Default
Male,University,Single,31-40,High,210000.0,31,0,0,0,0,0,0,189650.0,127111.0,93208.0,88223.0,84175.0,80305.0,5000.0,4200.0,3100.0,3000.0,3100.0,3000.0,0,0.0,0,0,0,0,662672.0,110445.33333333333,189650.0,42286.28981912065,109345.0,21400.0,3566.6666666666665,5000.0,840.6346808612328,2000.0,0.032293502667937846,0.5259301587276543,3.1555809523659257,0.10190476190427664,0.02636435539137166,0,0,0.27629059939119954,Tidak Default,Tidak Default
Male,High School,Single,31-40,Very High,260000.0,35,0,0,0,0,0,0,33078.0,42056.0,43986.0,45879.0,54264.0,59872.0,10000.0,10000.0,10390.0,10009.0,10000.0,10000.0,0,0.0,0,0,0,0,279135.0,46522.5,59872.0,9441.31452182375,-26794.0,60399.0,10066.5,10390.0,158.52286901264435,0.0,0.21637917136791737,0.1789326923070041,1.0735961538420247,0.23230384615295266,0.3023157385482098,0,0,0.19126470448001429,Tidak Default,Tidak Default
Female,Graduate School,Married,41-50,Very High,450000.0,42,-1,-1,-1,-1,-1,-1,72517.0,0.0,6281.0,3446.0,6157.0,0.0,0.0,6281.0,3446.0,6157.0,0.0,14380.0,0,0.0,0,0,0,0,88401.0,14733.5,72517.0,28444.660945421725,72517.0,30264.0,5044.0,14380.0,5354.7606855955755,-14380.0,0.3423490684455793,0.032741111111038355,0.19644666666623012,0.06725333333318388,0.0,0,0,0.24596124104103256,Tidak Default,Tidak Default
Male,High School,Single,31-40,High,150000.0,39,0,0,0,0,0,0,42029.0,42678.0,11413.0,12418.0,12415.0,13211.0,2100.0,1500.0,1500.0,500.0,1000.0,2300.0,0,0.0,0,0,0,0,134164.0,22360.666666666668,42678.0,15498.245586732282,28818.0,8900.0,1483.3333333333333,2300.0,670.5718952257592,-200.0,0.06633672222007142,0.1490711111101173,0.8944266666607038,0.05933333333293778,0.049965500010707715,0,0,0.23250827566234494,Tidak Default,Tidak Default
Female,Graduate School,Married,31-40,Medium,90000.0,31,1,2,-1,0,0,-1,8318.0,6111.0,33212.0,8978.0,1782.0,23173.0,39.0,33500.0,0.0,0.0,25000.0,0.0,2,0.5,1,2,1,1,81574.0,13595.666666666666,33212.0,12010.707001116407,-14855.0,58539.0,9756.5,33500.0,15336.986454320158,39.0,0.7176183587819941,0.1510629629612845,0.906377777767707,0.6504333333261063,0.004688627073252148,0,0,0.5435446513590836,Tidak Default,Tidak Default
Male,Graduate School,Married,51-60,High,220000.0,54,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.6327778986510535,Tidak Default,Default
